# XMX IG Launch - Posted Checklist
# Format: post_id,description,posted_yes_no,date_posted,notes

post_id,description,posted_yes_no,date_posted,notes
IG-01,IG Bio 設定,no,,
IG-02,頭像上傳,no,,
IG-03,精選分類設定 (Product/Travel/Waitlist),no,,
IG-04,9格-01 Logo,no,,
IG-05,9格-02 產品英雄,no,,
IG-06,9格-03 倉屏,no,,
IG-07,9格-04 旅行,no,,
IG-08,9格-05 中心品牌,no,,
IG-09,9格-06 商務,no,,
IG-10,9格-07 日常,no,,
IG-11,9格-08 Waitlist,no,,
IG-12,9格-09 CTA,no,,
IG-13,9格總Caption carousel帖,no,,
IG-14,Reels R01,no,,
IG-15,Story投票 (旅行/商務),no,,
